200822137 0000339C: 2F08  MOVE.L A0, -(A7)               D=00003234 FFFF0220 00000016 00000001 A223E2C5 DB6D0003 6DB6069E B6DB6D00 A=0000339C 000031EC 0004640E 00006AB4 007BA6B0 007E05D8 007D9ED4 007D9D4E
200822138 0000339E: 554F  SUBQA #2, A7                   D=00003234 FFFF0220 00000016 00000001 A223E2C5 DB6D0003 6DB6069E B6DB6D00 A=0000339C 000031EC 0004640E 00006AB4 007BA6B0 007E05D8 007D9ED4 007D9D4A
200822139 000033A0: 3F3C  MOVE.W #4, -(A7)               D=00003234 FFFF0220 00000016 00000001 A223E2C5 DB6D0003 6DB6069E B6DB6D00 A=0000339C 000031EC 0004640E 00006AB4 007BA6B0 007E05D8 007D9ED4 007D9D48
200822140 000033A4: 41FA  LEA (3424), A0                 D=00003234 FFFF0220 00000016 00000001 A223E2C5 DB6D0003 6DB6069E B6DB6D00 A=0000339C 000031EC 0004640E 00006AB4 007BA6B0 007E05D8 007D9ED4 007D9D46
200822141 000033A8: 2F18  MOVE.L (A0)+, -(A7)            D=00003234 FFFF0220 00000016 00000001 A223E2C5 DB6D0003 6DB6069E B6DB6D00 A=00003424 000031EC 0004640E 00006AB4 007BA6B0 007E05D8 007D9ED4 007D9D46
200822142 000033AA: 2050  MOVEA.L (A0), A0               D=00003234 FFFF0220 00000016 00000001 A223E2C5 DB6D0003 6DB6069E B6DB6D00 A=00003428 000031EC 0004640E 00006AB4 007BA6B0 007E05D8 007D9ED4 007D9D42
200822143 000033AC: 208F  MOVE.L A7, (A0)                D=00003234 FFFF0220 00000016 00000001 A223E2C5 DB6D0003 6DB6069E B6DB6D00 A=50F0C000 000031EC 0004640E 00006AB4 007BA6B0 007E05D8 007D9ED4 007D9D42
200822144 000033AE: 504F  ADDQA #8, A7                   D=00003234 FFFF0220 00000016 00000001 A223E2C5 DB6D0003 6DB6069E B6DB6D00 A=50F0C000 000031EC 0004640E 00006AB4 007BA6B0 007E05D8 007D9ED4 007D9D42
200822145 000033B0: 2029  MOVE.L 2A(A1), D0              D=00003234 FFFF0220 00000016 00000001 A223E2C5 DB6D0003 6DB6069E B6DB6D00 A=50F0C000 000031EC 0004640E 00006AB4 007BA6B0 007E05D8 007D9ED4 007D9D4A
200822146 000033B4: E198  ROL.L #8, D0                   D=F9900000 FFFF0220 00000016 00000001 A223E2C5 DB6D0003 6DB6069E B6DB6D00 A=50F0C000 000031EC 0004640E 00006AB4 007BA6B0 007E05D8 007D9ED4 007D9D4A
